아아, 46, 150
아타, 46, 161
하사, 72, 175
라가, 45, 195
타다, 40, 181
나다, 64, 176
라라, 96, 178
마하, 56, 160
사바, 61, 160
라하, 75, 189
다마, 58, 165
차다, 77, 179
다마, 90, 147
바나, 46, 163
다바, 91, 148
아타, 48, 171
아가, 50, 180
자하, 60, 187
자나, 60, 187
차자, 47, 150
차하, 58, 167
다바, 43, 148
하바, 53, 144
사아, 58, 198
나카, 67, 180
아사, 70, 190
자아, 98, 141
자사, 65, 199
아라, 94, 157
차라, 84, 194
아가, 75, 140
다자, 46, 188
라가, 71, 151
파나, 71, 193
다하, 72, 198
바아, 74, 157
자바, 64, 195
사차, 43, 177
자타, 85, 156
아파, 75, 178
타다, 65, 163
하하, 55, 144
가자, 41, 145
하바, 92, 174
가바, 57, 160
바나, 60, 153
차가, 82, 182
다마, 75, 157
가파, 78, 193
다나, 90, 183
사아, 79, 152
다다, 58, 146
바사, 47, 177
나마, 53, 167
자마, 67, 176
카사, 94, 189
타가, 76, 165
다아, 50, 188
카하, 60, 191
아자, 95, 154
라차, 86, 165
나마, 49, 175
타카, 51, 169
사타, 94, 190
타차, 59, 199
파파, 59, 142
차사, 42, 152
타사, 77, 191
라아, 65, 194
아마, 66, 182
마가, 62, 161
하바, 67, 177
차차, 76, 151
나자, 62, 140
나다, 54, 142
자마, 55, 166
하아, 71, 141
아나, 65, 198
하파, 70, 161
다사, 86, 174
차마, 97, 159
아나, 62, 176
자하, 99, 192
라카, 72, 146
마자, 81, 174
바사, 94, 176
타사, 70, 162
나나, 55, 147
다마, 67, 185
파나, 42, 148
카다, 71, 159
자바, 88, 174
아다, 85, 140
파나, 76, 184
아차, 80, 196
타하, 56, 153
자아, 83, 149
아나, 55, 198
가가, 68, 178
차다, 49, 178
나나, 97, 145
하카, 87, 191
자다, 96, 198
차바, 79, 191
차아, 42, 197
가다, 65, 174
다타, 44, 164
라마, 50, 158
아나, 47, 175
하카, 87, 143
다하, 99, 172
사하, 95, 183
아자, 58, 158
타마, 44, 152
카아, 57, 191
아가, 99, 171
라파, 51, 148
카나, 96, 197
카자, 56, 147
라카, 94, 182
자바, 51, 146
사가, 86, 179
다타, 52, 149
가가, 54, 160
바하, 96, 174
파사, 41, 143
자마, 64, 176
바마, 47, 184
다바, 92, 173
가라, 54, 191
바자, 96, 176
나파, 78, 197
차카, 94, 189
마마, 82, 171
카타, 74, 175
라타, 59, 147
하마, 61, 178
카자, 51, 174
타나, 43, 154
파파, 64, 149
마아, 70, 154
아파, 48, 182
다마, 52, 155
아파, 89, 161
라마, 68, 149
마라, 64, 145
타자, 95, 166
차타, 86, 161
사카, 40, 170
가자, 95, 148
자마, 67, 141
하마, 80, 192
가마, 54, 145
라자, 92, 152
라다, 65, 144
마바, 73, 159
아파, 70, 188
파사, 54, 191
나사, 66, 185
아차, 69, 148
하자, 47, 141
타하, 97, 166
타카, 81, 170
파아, 63, 140
아아, 48, 165
자나, 81, 197
파다, 60, 169
사나, 51, 175
마마, 64, 156
카가, 88, 166
타라, 96, 169
파아, 81, 159
다나, 76, 193
카카, 83, 141
카아, 66, 165
카자, 49, 168
다가, 47, 161
라가, 95, 178
파사, 78, 148
아하, 86, 154
카하, 81, 189
아나, 45, 197
바마, 55, 143
사다, 44, 142
마바, 45, 176
카타, 88, 160
아하, 72, 178
바바, 91, 189
바카, 83, 196
파다, 98, 156
나카, 60, 143
나나, 61, 192
카라, 77, 172
다마, 55, 190
아차, 89, 175
타사, 41, 161
마파, 70, 187
타바, 49, 153
카하, 56, 164
나사, 98, 173
타카, 87, 164
차가, 55, 154
나가, 50, 173
아마, 59, 153
